Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR3487387,2019-08-22 09:34:22,2019-08-22 11:03:08,8138994,1465018920,8138994,180,1042,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/487/ERR3487387.sralite.1,ERX3508847,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670354,SAMEA5881893,simple,99814,Sequoiadendron giganteum,SAMEA5881893,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,CC1EA0DC4EF44135BE8728F412E9F41A,4E88E21772D712EAFFF41DB9F76E3E61
ERR3487388,2019-08-22 09:34:22,2019-08-22 11:04:20,13585896,2445461280,13585896,180,1899,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/487/ERR3487388.sralite.1,ERX3508848,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670355,SAMEA5881894,simple,2602370,Tetraclinis sp. 1KP,SAMEA5881894,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,A8CE7C68018B441C6FAB4502B7DA8B04,B0CC9A1D11F8263B66FCFBE56E8BD161
ERR3487389,2019-08-22 09:34:22,2019-08-22 11:04:28,13912521,2504253780,13912521,180,1780,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/487/ERR3487389.sralite.1,ERX3508849,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670356,SAMEA5881895,simple,2602372,Lepidothamnus sp. 1KP,SAMEA5881895,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,F2C0AEDC378ECB290D774E1C6A21050A,2E7715B5C1654491E661AB01EF80D6F1
ERR3487390,2019-08-22 09:34:22,2019-08-22 11:04:41,13096114,2357300520,13096114,180,1657,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/487/ERR3487390.sralite.1,ERX3508850,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670357,SAMEA5881896,simple,2602374,Isoetes sp. 1KP,SAMEA5881896,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,B019B9C30DE126D0A3AEF76728B8F68B,6143A640FAD74F4EF033E37E0461AE78
ERR3487391,2019-08-22 09:34:22,2019-08-22 11:05:23,11216404,2018952720,11216404,180,1436,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/487/ERR3487391.sralite.1,ERX3508851,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670358,SAMEA5881897,simple,2602376,Marattia sp. 1KP,SAMEA5881897,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,B560A3E3075509D1AB40896B4E362B42,CE364726910F49FCCBB6AFF4810FA153
ERR3487392,2019-08-22 09:34:22,2019-08-22 11:06:09,13547125,2438482500,13547125,180,1919,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/487/ERR3487392.sralite.1,ERX3508852,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670359,SAMEA5881898,simple,2602378,Osmunda sp. 1KP,SAMEA5881898,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,96C4A5022D39646B6B6EDEC70675C171,56CAD16D70D2FDFAA18677B19AC0FB83
ERR3487393,2019-08-22 09:34:22,2019-08-23 09:43:40,10461683,1883102940,10461683,180,1486,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/487/ERR3487393.sralite.1,ERX3508853,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670360,SAMEA5881899,simple,1691982,Azolla cf. caroliniana Rothfels 4138,SAMEA5881899,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,6695803C896595879FD6D22E23CD19D6,42B2E10C6AD5CBDA05F8853A275E414D
ERR3487394,2019-08-22 09:34:22,2019-08-22 11:06:35,10647585,1916565300,10647585,180,1489,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/487/ERR3487394.sralite.1,ERX3508854,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670361,SAMEA5881900,simple,2604102,Claopodium rostratum,SAMEA5881900,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,ACA694DD50CB66AEAA39F152D7F3B5AF,5651247892694786619368FD0E18740B
ERR3487395,2019-08-22 09:34:22,2019-08-22 11:07:50,13910693,2503924740,13910693,180,1951,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/487/ERR3487395.sralite.1,ERX3508855,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670362,SAMEA5881901,simple,2602380,Physcomitrium sp. 1KP,SAMEA5881901,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,BE6AEB26D7CFDA329B2C6B79E9896F55,50EF38E08A09CD51288A5B8378881B25
ERR3487396,2019-08-22 09:34:22,2019-08-22 11:07:58,12388875,2229997500,12388875,180,1699,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/487/ERR3487396.sralite.1,ERX3508856,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670363,SAMEA5881902,simple,2602382,Blasia sp. 1KP,SAMEA5881902,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,CE70782AA78DD19AD552F45FE1127329,17B99662F8C89D09A79C633B6B5A99B4
ERR3487397,2019-08-22 09:34:22,2019-08-22 11:08:52,15009464,2701703520,15009464,180,2089,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/487/ERR3487397.sralite.1,ERX3508857,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670364,SAMEA5881903,simple,2602383,Frullania sp. 1KP,SAMEA5881903,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,FD9FE8D1E6DD3A44C9837B2D037DCF3B,D0965BC94D8F79BEA8DE4BD25C4BCF81
ERR3487398,2019-08-22 09:34:22,2019-08-22 11:09:19,13608784,2449581120,13608784,180,1825,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/487/ERR3487398.sralite.1,ERX3508858,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670365,SAMEA5881904,simple,65053,Plagiochila asplenioides,SAMEA5881904,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,31D961B9E3D40705F235B454E63F60A8,CC3A1BF80B64BB52CB09F5283FEB8AE0
ERR3487399,2019-08-22 09:34:22,2019-08-22 11:09:57,13861234,2495022120,13861234,180,1922,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/487/ERR3487399.sralite.1,ERX3508859,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670366,SAMEA5881905,simple,2602385,Schistochila sp. 1KP,SAMEA5881905,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,728FFC3B369021F555839B939BADF170,586335C41C5A4991790A12F87CC04C3D
ERR3487400,2019-08-22 09:34:22,2019-08-22 11:10:28,13501123,2430202140,13501123,180,1939,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/487/ERR3487400.sralite.1,ERX3508860,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670367,SAMEA5881906,simple,2602383,Frullania sp. 1KP,SAMEA5881906,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,8A0229A4D6AA7A2F5D7E15E2AC0E196C,C0C0EE617A72392FFA69363E370F95A3
ERR3487401,2019-08-22 09:34:22,2019-08-22 11:10:41,11639803,2095164540,11639803,180,1619,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/487/ERR3487401.sralite.1,ERX3508861,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670368,SAMEA5881907,simple,2602387,Pellia sp. 1KP,SAMEA5881907,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,77BE424B61F89B36B11B74C1E9A1CD06,F2B65C49A2F85087BF4CBC814B6CD490
ERR3487402,2019-08-22 09:34:22,2019-08-22 11:11:04,9598798,1727783640,9598798,180,1346,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/487/ERR3487402.sralite.1,ERX3508862,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670369,SAMEA5881908,simple,2601985,prasinophyte sp. NBRC 102842,SAMEA5881908,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,AFD1B59CF55B33CC475E46C72BE704CD,9438FB31DD11207CD728835E27172259
ERR3487403,2019-08-22 09:34:22,2019-08-22 11:11:53,12425305,2236554900,12425305,180,1694,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/487/ERR3487403.sralite.1,ERX3508863,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670370,SAMEA5881909,simple,2601998,Cymbomonas sp. M3265,SAMEA5881909,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,E821E0B89A8CE93E9AABE8050B9F6620,284AAA59C98106E4E9234AF0D4DE18C8
ERR3487404,2019-08-22 09:34:22,2019-08-22 11:13:06,11989432,2158097760,11989432,180,1501,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/487/ERR3487404.sralite.1,ERX3508864,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670371,SAMEA5881910,simple,1764295,Chloropicon primus,SAMEA5881910,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,F1F33F3566B594ECB4CC2EE163C4A3F3,99DFD080C85DFA9BF0FD1DAFBB9DEDCC
ERR3487405,2019-08-22 09:34:22,2019-08-22 11:13:05,7018469,1263324420,7018469,180,896,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/487/ERR3487405.sralite.1,ERX3508865,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670372,SAMEA5881911,simple,3105,Pediastrum duplex,SAMEA5881911,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,08885B145C8292126723E4FFA91AC10C,D145875BA0E11F4EE6137AE462686EB8
ERR3487406,2019-08-22 09:34:22,2019-08-22 11:13:06,7351162,1323209160,7351162,180,939,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/487/ERR3487406.sralite.1,ERX3508866,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670373,SAMEA5881912,simple,3105,Pediastrum duplex,SAMEA5881912,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,EA2BAD6613DA50B7473B2756C49BB721,9B784C5A5C9B69A716F99E05A00EF0D3
ERR3487407,2019-08-22 09:34:22,2019-08-22 11:13:56,7444890,1340080200,7444890,180,946,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/487/ERR3487407.sralite.1,ERX3508867,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670374,SAMEA5881913,simple,3105,Pediastrum duplex,SAMEA5881913,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,4F6F6E2E78E365CC31C8B3B5546ACF82,3B4B2EA6F245B531B2F856652937F7C1
ERR3487408,2019-08-22 09:34:22,2019-08-22 11:13:53,9382301,1388580548,9382301,148,888,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/487/ERR3487408.sralite.1,ERX3508868,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina Genome Analyzer II,ERP023948,PRJEB21674,,393814,ERS3670375,SAMEA5881914,simple,2601999,Neochlorosarcina sp. CCAC 2315 B,SAMEA5881914,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,91DF7745B7160C09F41F40DB8F2C73FD,944855B98C93D7072AB9A8299A1345E6
ERR3487409,2019-08-22 09:34:22,2019-08-22 11:15:18,9577406,1723933080,9577406,180,1337,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/487/ERR3487409.sralite.1,ERX3508869,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670376,SAMEA5881915,simple,2601986,Microspora sp. ASW 06004,SAMEA5881915,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,7503BBFA0C349F901A3ABAACE8CC8A77,5FA86E7C4A2ADE35F0B2A3D0ECA90075
ERR3487410,2019-08-22 09:34:22,2019-08-22 11:18:22,9518261,1713286980,9518261,180,1356,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/487/ERR3487410.sralite.1,ERX3508870,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670377,SAMEA5881916,simple,2601988,Ankistrodesmus sp. CCAC 3332 B,SAMEA5881916,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,C8EA316CFA7828F96804024A2F4C80A2,D44B8D12605CF0B95804EE8D13E5C9F9
ERR3487411,2019-08-22 09:34:22,2019-08-22 11:18:37,13921495,2505869100,13921495,180,1869,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/487/ERR3487411.sralite.1,ERX3508871,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670378,SAMEA5881917,simple,2601991,Chlamydomonas sp. CCAC 2762 B,SAMEA5881917,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,84CD65098BAD8A94EA9DD52598E1A639,A25C4FD3B8ACCA6024668D954953DF1D
ERR3487412,2019-08-22 09:34:22,2019-08-22 11:19:53,13821228,2487821040,13821228,180,1866,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/487/ERR3487412.sralite.1,ERX3508872,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670379,SAMEA5881919,simple,2601992,Chlamydomonas sp. CCAC 2779 B,SAMEA5881919,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,8820768615F622F81B7AECCAEAB292E5,192B03D900CFAD7F84CCE510536E9012
ERR3487413,2019-08-22 09:34:22,2019-08-22 11:19:34,8992029,1618565220,8992029,180,1083,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/487/ERR3487413.sralite.1,ERX3508873,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670380,SAMEA5881920,simple,1538425,Chlorococcum microstigmatum,SAMEA5881920,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,6717AF6484DD6D4678FDD17EF8ECC788,A13A1F55FB826FB932AFC6D529A34E89
ERR3487414,2019-08-22 09:34:22,2019-08-22 11:20:18,12105092,2178916560,12105092,180,1664,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/487/ERR3487414.sralite.1,ERX3508874,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670381,SAMEA5881921,simple,2602006,Vitreochlamys sp. M2074,SAMEA5881921,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,878AEF90C9B023833DB98CCC8D40F0A1,472681F24341AD2E8B84B68F06DEA1BE
